2024-08-27 01:18:01,397 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:18:01,463 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:18:01,712 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:18:02,064 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:18:02,083 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:18:02,163 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:18:02,228 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:25:43,900 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:25:43,949 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:25:43,982 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:25:43,982 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:25:44,033 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:25:44,083 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:25:44,117 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:25:44,181 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:25:44,232 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:25:44,383 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:25:44,383 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:25:44,432 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:25:44,634 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:25:44,916 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:25:44,932 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:25:44,999 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:25:45,049 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:40:04,480 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:40:04,511 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:40:04,547 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:40:04,563 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:40:04,647 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
